Rental Id,Duration,Bike Id,End Date,EndStation Id,EndStation Name,Start Date,StartStation Id,StartStation Name,,
57834124,1260,5166,31/08/2016 00:23,1116,"Emperor's Gate, South Kensington",0,31/08/2016 00:02,10630,"George Place Mews, Marylebone",
57834129,780,7053,31/08/2016 00:15,2694,"Oval Way, Vauxhall",0,31/08/2016 00:02,1000,"Vauxhall Cross, Vauxhall",
57834132,480,13731,31/08/2016 00:10,200011,"Furze Green, Bow",0,31/08/2016 00:02,200252,"Bow Church Station, Bow",
57834133,840,7581,31/08/2016 00:16,200028,"Elysium Place, Fulham",0,31/08/2016 00:02,3486,"St. Luke's Church, Chelsea",
57834135,540,12597,31/08/2016 00:11,200070,"Arlington Road, Camden Town",0,31/08/2016 00:02,969,"Gower Place , Euston",
57834125,720,8085,31/08/2016 00:14,200249,"Queen Mary's, Mile End",0,31/08/2016 00:02,200064,"Regent's Row , Haggerston ",
,,,,,,,,,,
,,,,,,,,,,
Rental Id,Duration,Bike Id,End Date,EndStation Name,Start Date,StartStation Id,StartStation Name,,,
122342973,180,16835,06/07/2022 15:26,"St. Mary & St. Michael Church, Stepney",06/07/2022 15:23,500,"Ansell House, Stepney",,,
122443043,1380,8260,08/07/2022 18:09,"Belgrove Street , King's Cross",08/07/2022 17:46,297,"Geraldine Street, Elephant & Castle",,,
122392666,600,17431,07/07/2022 17:00,"Eel Brook Common, Walham Green",07/07/2022 16:50,615,"Finlay Street, Fulham",,,
122516692,900,39,10/07/2022 11:47,"Drury Lane, Covent Garden",10/07/2022 11:32,310,"Black Prince Road, Vauxhall",,,
122561553,1140,6484,11/07/2022 09:55,"Duke Street Hill, London Bridge",11/07/2022 09:36,310,"Black Prince Road, Vauxhall",,,
122330555,900,22394,06/07/2022 09:17,"Somerset House, Strand",06/07/2022 09:02,48,"Godliman Street, St. Paul's",,,
122421385,960,22501,08/07/2022 09:23,"Borough Road, Elephant & Castle",08/07/2022 09:07,48,"Godliman Street, St. Paul's",,,
122340389,660,19239,06/07/2022 14:16,"Borough Road, Elephant & Castle",06/07/2022 14:05,197,"Stamford Street, South Bank",,,
122339028,840,20469,06/07/2022 13:35,"Pall Mall East, West End",06/07/2022 13:21,733,"Park Lane, Mayfair",,,
122620904,840,18489,12/07/2022 17:01,"Worship Street, Shoreditch",12/07/2022 16:47,449,"Shadwell Station, Shadwell",,,
122322528,1020,22678,06/07/2022 07:03,"Queen Victoria Street, St. Paul's",06/07/2022 06:46,92,"Borough Road, Elephant & Castle",,,
122369062,600,20462,07/07/2022 07:13,"New Globe Walk, Bankside",07/07/2022 07:03,92,"Borough Road, Elephant & Castle",,,
122358697,1200,22966,06/07/2022 19:52,"LSBU (Borough Road), Elephant & Castle",06/07/2022 19:32,92,"Borough Road, Elephant & Castle",,,
122396049,1200,22548,07/07/2022 17:59,"LSBU (Borough Road), Elephant & Castle",07/07/2022 17:39,92,"Borough Road, Elephant & Castle",,,
122361511,840,22966,06/07/2022 20:47,"LSBU (Borough Road), Elephant & Castle",06/07/2022 20:33,92,"Borough Road, Elephant & Castle",,,
122416657,480,22004,08/07/2022 07:32,"New Globe Walk, Bankside",08/07/2022 07:24,92,"Borough Road, Elephant & Castle",,,
122629874,420,18979,12/07/2022 18:46,"Shadwell Station, Shadwell",12/07/2022 18:39,251,"Brushfield Street, Liverpool Street",,,
122362095,1020,22966,06/07/2022 21:06,"LSBU (Borough Road), Elephant & Castle",06/07/2022 20:49,262,"LSBU (Borough Road), Elephant & Castle",,,
122360263,1140,22966,06/07/2022 20:23,"Borough Road, Elephant & Castle",06/07/2022 20:04,262,"LSBU (Borough Road), Elephant & Castle",,,
122498949,1080,17052,09/07/2022 20:20,"Macclesfield Rd, St Lukes",09/07/2022 20:02,24,"British Museum, Bloomsbury",,,
,,,,,,,,,,
,,,,,,,,,,
Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
129019506,05/03/2023 23:59,022180,"Cheapside, Bank",06/03/2023 00:24,001112,"Nutford Place, Marylebone",20457,CLASSIC,24m 50s,1490209
129019507,05/03/2023 23:59,003504,"Moor Street, Soho",06/03/2023 02:07,001022,"Brunswick Square, Bloomsbury",60203,PBSC_EBIKE,2h 7m 53s,7673437
129019508,05/03/2023 23:59,300003,"Eel Brook Common, Walham Green",06/03/2023 00:11,001172,"Queen's Gate (South), South Kensington",13425,CLASSIC,11m 11s,671828
129019509,06/03/2023 00:00,003455,"Arundel Street, Temple",06/03/2023 00:14,003495,"Wells Street, Fitzrovia",11616,CLASSIC,14m 15s,855588
129019504,05/03/2023 23:58,001204,"Queen's Gate (North), Kensington",06/03/2023 00:12,300210,"Halford Road, West Kensington",58413,CLASSIC,14m 9s,849738
129019505,05/03/2023 23:59,001080,"Great Tower Street, Monument",06/03/2023 00:13,001023,"River Street , Clerkenwell",54638,CLASSIC,14m 28s,868119
129019503,05/03/2023 23:58,001080,"Great Tower Street, Monument",05/03/2023 23:58,001080,"Great Tower Street, Monument",50078,CLASSIC,37s,37236
129019500,05/03/2023 23:56,000994,"Tanner Street, Bermondsey",06/03/2023 00:02,000996,"Borough High Street, The Borough",51964,CLASSIC,6m 26s,386837
129019501,05/03/2023 23:56,001050,"Park Road (Baker Street), The Regent's Park",06/03/2023 00:01,001036,"Crawford Street, Marylebone",52398,CLASSIC,4m 15s,255904
129019502,05/03/2023 23:56,000963,"Bankside Mix, Bankside",06/03/2023 00:15,002680,"Harrowby Street, Marylebone",60386,PBSC_EBIKE,18m 17s,1097972
